"Intercept","X","X2","X3","A","A2","A3","XA","AX2","XA2","Xname","Kname"
0.193851022706578,0.00028299693255987,-0.000172741364522645,3.94408127493511e-05,-2.73437022213536e-05,1.03538619676723e-08,1.22776723809929e-10,-2.23886334385037e-06,6.6616716780043e-07,-8.06457376224959e-10,"TeffNorm","kK"
0.194036677863227,-8.7173032575487e-05,8.03443128524093e-05,-2.51403409479465e-05,-2.92402312902762e-05,8.90727276814896e-09,1.22776723810896e-10,2.62714781795896e-07,1.99360026624307e-08,5.48547822727564e-10,"BPRP","kK"
0.194036461179649,-5.56831806053864e-05,3.19741399017712e-05,-5.89645969146657e-06,-2.92315585654066e-05,8.92015293997219e-09,1.22776723810794e-10,1.34068251364412e-07,1.10290966438196e-08,3.05885471389225e-10,"GK","kK"
0.248021433372677,0.0124879435361896,-0.00743061342278086,0.00147104922489336,-6.18256432274496e-05,3.03867884218629e-08,7.32552035881748e-10,-7.58455783400754e-06,2.18577169747426e-06,-1.77718326547873e-08,"TeffNorm","kH"
0.255001903606345,0.000371479594476952,-0.00105595234730528,0.000275532279605257,-6.85175137712241e-05,-1.72955420565623e-09,7.3255203592049e-10,1.32283764818279e-06,-1.21875466562004e-07,1.24444782131842e-08,"BPRP","kH"
0.255008679501386,0.000131616635697416,-0.000274233048785834,3.85824486552516e-05,-6.84832025546644e-05,-1.54224251362316e-09,7.32552035921331e-10,7.06144326222524e-07,-2.6824994314896e-08,7.03011462211036e-09,"GK","kH"
0.332935353596665,0.00718635963856921,-0.00169547556488427,-1.75260900328751e-05,-0.000135442165788462,3.2704960118855e-07,2.32045629925236e-09,-2.32956015554387e-05,6.5953637769895e-06,-8.2710717573809e-08,"TeffNorm","kJ"
0.340322701326081,-0.00135003914237865,-0.00075480593434757,0.000322672075192785,-0.00015641759058185,1.82907897355183e-07,2.32045629927327e-09,4.37126755787417e-06,-3.90656350059169e-07,4.99414946664095e-08,"BPRP","kJ"
0.340311638670332,-0.000915950045303306,-0.000123269257350634,3.90073360151141e-05,-0.000156300042231036,1.83750717478225e-07,2.32045629927375e-09,2.3326929314546e-06,-8.59963062454607e-08,2.81340593548447e-08,"GK","kJ"
0.397757193443918,0.47830422684147,-0.298201519568948,0.0631162856810166,-0.00417918495688091,6.38932013394025e-05,1.61356747065524e-06,-0.0030271096995944,0.000947582042228708,-1.74529998636095e-05,"TeffNorm","kRP"
0.662595389120923,-0.0167121614962357,-0.00144198404916194,-0.00133749382473256,-0.00655783097133718,3.36125225635362e-05,1.61356747065676e-06,2.20748538619438e-05,0.000178453487002225,1.0336186431516e-05,"BPRP","kRP"
0.662655733709438,-0.0132491535615926,0.00306370635742386,-0.000955204600150565,-0.00654741389252918,3.36995264556633e-05,1.61356747065675e-06,-5.7877306007539e-06,6.21679728593564e-05,5.89841729419516e-06,"GK","kRP"
0.701997072298603,0.490866299480625,-0.164808457543591,0.0170922494342349,0.00289871460851645,0.000425850523466046,-1.20366204386936e-05,-0.023177965407382,0.0051461571124259,0.000222767475712585,"TeffNorm","kBP"
1.15477509956089,-0.0860151175561996,-0.0302071198654238,0.0140420820336445,-0.0223968266786066,0.000823544766886717,-1.20366204386921e-05,0.00699684361199003,-0.000499920649896623,-0.000148686538559682,"BPRP","kBP"
1.15384083979704,-0.0558324616431585,-0.00382298753966591,0.00154780611596342,-0.0222529542381377,0.000821761275365642,-1.20366204386921e-05,0.00384734271204171,-0.000130348864804434,-8.43889008815254e-05,"GK","kBP"
0.235975767531247,0.974642001154732,-0.454849105677279,0.0809472883012553,0.00143267173083805,0.000711522982426832,-2.43558666819971e-05,-0.0330300302504699,0.00626996185287723,0.000448105647489681,"TeffNorm","kG"
0.996727636184546,-0.161532912039159,0.0121894634053956,0.00108655443373807,-0.0378418720324357,0.00150218619071414,-2.43558666819941e-05,0.0119452762544019,-0.000900410348061063,-0.000285148019567325,"BPRP","kG"
0.99532508899058,-0.104124485079019,0.0151196650841295,-0.00190809704330662,-0.037605133587964,0.00149775718153099,-2.43558666819942e-05,0.00665765937041621,-0.000274023138657754,-0.000160966840332499,"GK","kG"
