"Intercept","X","X2","X3","A","A2","A3","XA","AX2","XA2","Xname","Kname"
0.18773307004473,0.013589954610476,-0.00949752493798802,0.0021538606069871,-2.90629429374687e-05,9.85596051872588e-09,1.22296148825454e-10,0,0,0,"TeffNorm","kK"
0.19404852029171,-0.000259572240803642,0.000495770920767284,-0.00026750735610992,-2.92327041145282e-05,8.01889842444919e-09,1.22296149058604e-10,6.4675963409363e-08,1.50135637674828e-07,2.70438735386413e-09,"BPRP","kK"
0.194059063720102,-0.000337880688254366,0.000405004510990789,-0.000119030825664077,-2.90629429374213e-05,9.85596051245887e-09,1.22296149043372e-10,0,0,0,"GK","kK"
0.251194278870001,0.00557240927743432,-0.00255553890541476,0.000364710850672105,-5.53631432268919e-05,2.6636549421242e-08,7.2663178190722e-10,-1.63127075257061e-05,5.01044208648843e-06,-1.60303574592448e-08,"TeffNorm","kH"
0.25505435103948,0.000238094101040351,-0.0009480815739429,0.000286492979762418,-6.84496601067957e-05,-2.40939063887753e-09,7.2663178194737e-10,1.87920964708149e-07,1.01009401360882e-06,1.11538757526755e-08,"BPRP","kH"
0.255058871064972,7.19016588950228e-05,-0.000250455702483274,3.99422163967702e-05,-6.83632867675118e-05,-2.3163568526324e-09,7.26631781961228e-10,-2.27788077229475e-07,4.97609167483581e-07,6.67076034469308e-09,"GK","kH"
0.340106741856065,-0.0078301140233387,0.00845428735477829,-0.00224716493184264,-0.000140506500662303,3.2081276261544e-07,2.33928990133615e-09,-1.67305535204338e-05,4.55067646106327e-06,-7.92079051924446e-08,"TeffNorm","kJ"
0.340345410744913,-0.00150278241491212,-0.000664573369992718,0.000417668208427758,-0.000156212937136542,1.82216155475468e-07,2.33928990110555e-09,3.41610470017311e-06,-2.13961419094946e-07,4.78655838716295e-08,"BPRP","kJ"
0.340301468237771,-0.000826269158576803,-0.000283696380615497,0.000103538996307887,-0.000156039957793959,1.81587525109325e-07,2.33928990111011e-09,1.63733498839871e-06,5.71693287820809e-08,2.954302715354e-08,"GK","kJ"
0.382719668454633,0.505895415656219,-0.314981478333036,0.0665302085130136,-0.00383780468169498,6.50490784002505e-05,1.57894227640801e-06,-0.00348740736346628,0.00110877159426768,-1.8313141658225e-05,"TeffNorm","kRP"
0.66320787941067,-0.0179847164933981,0.000493769449961458,-0.00267994405695751,-0.00651422146709376,3.30179903473159e-05,1.57894227641527e-06,-7.9800898337247e-05,0.000255679812110045,1.10476584967393e-05,"BPRP","kRP"
0.663374149569189,-0.0184814428792349,0.0100266536020118,-0.00317119320308867,-0.00649336268398495,3.27674122186053e-05,1.57894227641494e-06,-0.000116290469708794,0.000117366662432525,6.91273258513903e-06,"GK","kRP"
0.888088914696666,0.11318390480077,0.0846337732558566,-0.0371265818793239,-0.00296140793334905,0.000538660562947277,-1.31018008013512e-05,-0.0164152179931537,0.00323902299833464,0.000169011297620409,"TeffNorm","kBP"
1.15363197483424,-0.0814012991657388,-0.036013023976704,0.0192143585568966,-0.022397548243016,0.000840562680547171,-1.31018008013549e-05,0.00660124080271006,-0.000882247501989453,-0.000111215755291684,"BPRP","kBP"
1.1516008149802,-0.0502982507379423,-0.00801054248601918,0.0028487377407222,-0.0222045923218139,0.000841943191161668,-1.31018008013547e-05,0.00346423295251231,-0.000145621334026214,-6.85718568409361e-05,"GK","kBP"
0.259021858973784,0.93676111876298,-0.437446499585492,0.0783508476444952,-0.00136127433235224,0.000797222688660053,-2.52364537395233e-05,-0.029981504413869,0.00555506017434798,0.000402778419603886,"TeffNorm","kG"
0.995969721536602,-0.159726460302015,0.0122380738156057,0.00090726555099859,-0.0377160263914123,0.00151347495244888,-2.52364537395142e-05,0.0114522658102451,-0.000936914989014318,-0.000260296774134201,"BPRP","kG"
0.993548688906439,-0.110149052160837,0.0264447715065468,-0.00571010222810317,-0.0374363031107716,0.00151447309438712,-2.52364537395156e-05,0.00623824755961677,-0.000123598316318183,-0.000158499801004388,"GK","kG"
